Data	retencja	passa bez deszczu	czy podlewanie	ile w zbiorniku rano	codzienne zu¿ycie	Czy œrodowe z³u¿ycie	czy podlewanie	ile na koniec dnia	ile z wodoci¹gów																				
wtorek, 13 grudzieñ 2022	145	0	brak danych	145	536	0	0	0	391																				
œroda, 14 grudzieñ 2022	0	1	brak danych	0	537	70	0	0	607																				
czwartek, 15 grudzieñ 2022	0	2	brak danych	0	538	0	0	0	538																				
pi¹tek, 16 grudzieñ 2022	24	0	brak danych	24	539	0	0	0	515																				
sobota, 17 grudzieñ 2022	0	1	brak danych	0	540	0	0	0	540																				
niedziela, 18 grudzieñ 2022	0	2	brak danych	0	541	0	0	0	541																				
poniedzia³ek, 19 grudzieñ 2022	45	0	brak danych	45	542	0	0	0	497																				
wtorek, 20 grudzieñ 2022	97	0	brak danych	97	543	0	0	0	446																				
œroda, 21 grudzieñ 2022	0	1	brak danych	0	544	70	0	0	614																				
czwartek, 22 grudzieñ 2022	22	0	brak danych	22	545	0	0	0	523																				
pi¹tek, 23 grudzieñ 2022	0	1	brak danych	0	546	0	0	0	546																				
sobota, 24 grudzieñ 2022	0	2	brak danych	0	547	0	0	0	547																				
niedziela, 25 grudzieñ 2022	0	3	brak danych	0	548	0	0	0	548																				
poniedzia³ek, 26 grudzieñ 2022	135	0	brak danych	135	549	0	0	0	414																				
wtorek, 27 grudzieñ 2022	0	1	brak danych	0	550	0	0	0	550																				
œroda, 28 grudzieñ 2022	153	0	brak danych	153	551	70	0	0	468																				
czwartek, 29 grudzieñ 2022	0	1	brak danych	0	552	0	0	0	552																				
pi¹tek, 30 grudzieñ 2022	0	2	brak danych	0	553	0	0	0	553																				
sobota, 31 grudzieñ 2022	144	0	brak danych	144	554	0	0	0	410																				
